Congresita,AdmisionVacancia,VotacionVacancia,Email ,ORGPOL,DEPARTAMENTO1,Sentencia1,Sentencia2,PROTESTA1
CARLOS ENRIQUE FERNANDEZ CHACON,1,1,cfernandezch@congreso.gob.pe,"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",LIMA,0,0,
MATILDE FERNANDEZ FLOREZ,0,0,mfernandez@congreso.gob.pe,PARTIDO DEMOCRATICO SOMOS PERU,CUSCO,0,0,
JOHAN FLORES VILLEGAS,1,1,jfloresv@congreso.gob.pe,PODEMOS PERU,MOQUEGUA,0,0,
MARIA MARTINA GALLARDO BECERRA,1,1,mgallardo@congreso.gob.pe,PODEMOS PERU,LAMBAYEQUE,0,0,
JAQUELINE CECILIA GARCIA RODRÍGUEZ,1,1,jgarciar@congreso.gob.pe,PODEMOS PERU,LIMA,3,3,1
PAUL GABRIEL GARCIA OVIEDO,1,1,pgarcia@congreso.gob.pe,ACCION POPULAR,CALLAO,0,0,
CESAR GONZALES TUANAMA,1,1,cgonzales@congreso.gob.pe,PARTIDO DEMOCRATICO SOMOS PERU,UCAYALI,1,2,
MIGUEL ANGEL GONZALES SANTOS,0,0,mgonzaless@congreso.gob.pe,PARTIDO MORADO,CALLAO,0,0,
MOISES GONZALEZ CRUZ,2,1,mgonzalezc@congreso.gob.pe,ALIANZA PARA EL PROGRESO,CAJAMARCA,0,0,
OTTO NAPOLEON GUIBOVICH ARTEAGA,1,1,oguibovich@congreso.gob.pe,ACCION POPULAR,ANCASH,0,0,
ROBINSON DOCITEO GUPIOC RIOS,1,1,rgupioc@congreso.gob.pe,PODEMOS PERU,LIMA,3,3,
ROBLEDO NOE GUTARRA RAMOS,2,1,rgutarra@congreso.gob.pe,FRENTE POPULAR AGRICOLA FIA DEL PERU - FREPAP,JUNIN,0,1,
ALEXANDER HIDALGO ZAMALLOA,0,1,ahidalgo@congreso.gob.pe,ALIANZA PARA EL PROGRESO,CUSCO,0,0,
JUAN DE DIOS HUAMAN CHAMPI,2,1,jhuamanch@congreso.gob.pe,FRENTE POPULAR AGRICOLA FIA DEL PERU - FREPAP,CUSCO,0,0,
NELLY HUAMANI MACHACA DE ESPINOZA,no voto,1,rmachaca@congreso.gob.pe,FRENTE POPULAR AGRICOLA FIA DEL PERU - FREPAP,UCAYALI,0,0,
LEONARDO INGA SALES,2,1,lingas@congreso.gob.pe,ACCION POPULAR,LORETO,0,0,
LESLYE CAROL LAZO VILLON,1,2,llazo@congreso.gob.pe,ACCION POPULAR,LIMA,0,0,2
MARTIRES LIZANA SANTOS,1,1,mlizana@congreso.gob.pe,FUERZA POPULAR,PIURA,0,0,
CAROLINA LIZARRAGA HOUGHTON,no voto,0,clizarraga@congreso.gob.pe,PARTIDO MORADO,LIMA,0,0,
FREDDY LLAULLI ROMERO,1,1,fllaulli@congreso.gob.pe,ACCION POPULAR,JUNIN,2,1,
ALEXANDER LOZANO INOSTROZA,1,1,alozano@congreso.gob.pe,UNION POR EL PERU,MADRE DE DIOS,0,0,
JOSE LUIS LUNA MORALES,1,1,jlunam@congreso.gob.pe,PODEMOS PERU,LIMA,3,3,
RAUL MACHACA MAMANI,2,1,jmamani@congreso.gob.pe,FRENTE POPULAR AGRICOLA FIA DEL PERU - FREPAP,TACNA,0,0,
JIM ALI MAMANI BARRIGA,1,1,jmamani@congreso.gob.pe,UNION POR EL PERU,AYACUCHO,0,0,
HECTOR SIMON MAQUERA CHAVEZ,1,1,hmaquera@congreso.gob.pe,UNION POR EL PERU,TACNA,1,1,
FERNANDO MELENDEZ CELIS,no voto,1,fmelendez@congreso.gob.pe,ALIANZA PARA EL PROGRESO,LORETO,0,0,
JAVIER MENDOZA MARQUINA,1,1,jmendoza@congreso.gob.pe,UNION POR EL PERU,AYACUCHO,0,0,
MANUEL ARTURO MERINO DE LAMA,no voto,no voto,amerino@congreso.gob.pe,ACCION POPULAR,TUMBES,0,2,
OMAR MERINO LOPEZ,0,1,omerino@congreso.gob.pe,ALIANZA PARA EL PROGRESO,APURIMAC,0,1,
CARLOS FERNANDO MESIA RAMIREZ,1,1,cmesia@congreso.gob.pe,FUERZA POPULAR,LIMA,0,2,1
ABSALON MONTOYA GUIVIN,no voto,1,amontoya@congreso.gob.pe,"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",AMAZONAS,0,0,
ANTHONY RENSON NOVOA CRUZADO,2,1,anovoa@congreso.gob.pe,ACCION POPULAR,LA LIBERTAD,0,0,
JESUS DEL CARMEN NUÑEZ MARREROS,2,1,jnunez@congreso.gob.pe,FRENTE POPULAR AGRICOLA FIA DEL PERU - FREPAP,LA LIBERTAD,1,0,
JOSE ANTONIO NUÑEZ SALAS,0,0,jnunezs@congreso.gob.pe,PARTIDO MORADO,AREQUIPA,0,0,
DANIEL FEDERICO OLIVARES CORTES,0,0,dolivares@congreso.gob.pe,PARTIDO MORADO,LIMA,0,0,
MARIA DEL CARMEN OMONTE DURAND,0,1,momonte@congreso.gob.pe,ALIANZA PARA EL PROGRESO,LIMA,1,1,
DANIEL OSEDA YUCRA,2,1, doseday@congreso.gob.pe,FRENTE POPULAR AGRICOLA FIA DEL PERU - FREPAP,AREQUIPA,0,0,
JUAN CARLOS OYOLA RODRIGUEZ,1,1,joyola@congreso.gob.pe,ACCION POPULAR,ICA,1,0,
ANGELICA MARIA PALOMINO SAAVEDRA,0,0,apalomino@congreso.gob.pe,PARTIDO MORADO,PIURA,0,0,
RUBEN PANTOJA CALVO,1,1,rpantoja@congreso.gob.pe,UNION POR EL PERU,CUSCO,0,0,
ROSARIO PAREDES EYZAGUIRRE,1,1,rparedes@congreso.gob.pe,ACCION POPULAR,AREQUIPA,0,1,
CARLOS ANDRES PEREZ OCHOA,no voto,1,cperezo@congreso.gob.pe,ACCION POPULAR,LIMA PROVINCIAS,0,0,
JHOSEPT AMADO PEREZ MIMBELA,0,1,jperezm@congreso.gob.pe,ALIANZA PARA EL PROGRESO,ANCASH,0,0,
JORGE LUIS PEREZ FLORES,0,1,jperezf@congreso.gob.pe,PARTIDO DEMOCRATICO SOMOS PERU,LAMBAYEQUE,0,0,
LUSMILA PEREZ ESPIRITU,0,1,lperez@congreso.gob.pe,ALIANZA PARA EL PROGRESO,HUANUCO,0,0,
MARCOS ANTONIO PICHILINGUE GOMEZ,1,1,mpichilingue@congreso.gob.pe,FUERZA POPULAR,CALLAO,0,0,
ISAIAS PINEDA SANTOS,2,1,ipineda@congreso.gob.pe,FRENTE POPULAR AGRICOLA FIA DEL PERU - FREPAP,LIMA,0,0,1
LILIANA ANGELICA PINEDO ACHACA,1,1,lpinedoa@congreso.gob.pe,FUERZA POPULAR,LIMA PROVINCIAS,0,0,
NAPOLEON PUÑO LECARNAQUE,0,1,npuno@congreso.gob.pe,ALIANZA PARA EL PROGRESO,TUMBES,0,1,
MARIO JAVIER QUISPE SUAREZ,0,1,mquispes@congreso.gob.pe,ALIANZA PARA EL PROGRESO,PIURA,1,1,
YVAN QUISPE APAZA,1,1,mquispes@congreso.gob.pe,"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",PUNO,0,1,
RUBEN RAMOS ZAPANA,1,1,rramos@congreso.gob.pe,UNION POR EL PERU,PUNO,1,0,
ALCIDES RAYME MARIN,2,1,arayme@congreso.gob.pe,FRENTE POPULAR AGRICOLA FIA DEL PERU - FREPAP,CALLAO,0,0,
MARIA CRISTINA RETAMOZO LEZAMA,2,1,mretamozo@congreso.gob.pe,FRENTE POPULAR AGRICOLA FIA DEL PERU - FREPAP,LIMA,0,0,
PERCI RIVAS OCEJO,0,1,privas@congreso.gob.pe,ALIANZA PARA EL PROGRESO,AYACUCHO,0,1,1
WALTER JESUS RIVERA GUERRA,1,1,wriverag@congreso.gob.pe,ACCION POPULAR,LIMA,0,0,
TANIA ROSALIA RODAS MALCA,0,1,trodas@congreso.gob.pe,ALIANZA PARA EL PROGRESO,LA LIBERTAD,0,0,
LUIS ANDRES ROEL ALVA,0,0,lroel@congreso.gob.pe,ACCION POPULAR,LIMA,0,0,
RICHARD RUBIO GARIZA,no voto,no voto,rrubio@congreso.gob.pe,FRENTE POPULAR AGRICOLA FIA DEL PERU - FREPAP,LIMA,0,0,
ROLANDO RUBEN RUIZ PINEDO,1,1,rruiz@congreso.gob.pe,ACCION POPULAR,SAN MARTIN,0,0,
MONICA ELIZABETH SAAVEDRA OCHARAN,no voto,1,msaavedra@congreso.gob.pe,ACCION POPULAR,LIMA,0,0,
FRANCISCO RAFAEL SAGASTI HOCHHAUSLER,0,0,fsagasti@congreso.gob.pe,PARTIDO MORADO,LIMA,0,0,
FRANCO SALINAS LOPEZ,1,1,fsalinas@congreso.gob.pe,ACCION POPULAR,PIURA,1,1,
ORESTES POMPEYO SANCHEZ LUIS,1,1,osanchez@congreso.gob.pe,PODEMOS PERU,LIMA,3,3,
ROBERTINA SANTILLANA PAREDES,0,1,rsantillana@congreso.gob.pe,ALIANZA PARA EL PROGRESO,SAN MARTIN,0,0,
MARIA LUISA SILUPU INGA,1,1,msilupu@congreso.gob.pe,FUERZA POPULAR,PIURA,0,0,
ROCIO YOLANDA ANGELICA SILVA SANTISTEBAN MANRIQUE,0,0,rsilvas@congreso.gob.pe,"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",LIMA,0,0,0
LUIS CARLOS SIMEON HURTADO,1,1,lsimeon@congreso.gob.pe,ACCION POPULAR,PASCO,0,0,
ZENAIDA SOLIS GUTIERREZ,0,0,zsolis@congreso.gob.pe,PARTIDO MORADO,LIMA,0,0,
ERWIN TITO ORTEGA,1,1,etito@congreso.gob.pe,FUERZA POPULAR,JUNIN,0,2,
FELICITA MADALEINE TOCTO GUERRERO,1,1,ftocto@congreso.gob.pe,PARTIDO DEMOCRATICO SOMOS PERU,CAJAMARCA,0,1,
HANS TROYES DELGADO,0,2,htroyes@congreso.gob.pe,ACCION POPULAR,CAJAMARCA,0,2,
GILMER TRUJILLO ZEGARRA,1,1,gtrujillo@congreso.gob.pe,FUERZA POPULAR,SAN MARTIN,0,0,
DANIEL BELIZARIO URRESTI ELERA,0,0,durresti@congreso.gob.pe,PODEMOS PERU,LIMA,3,3,
LUIS ALBERTO VALDEZ FARIAS,no voto,1,lvaldez@congreso.gob.pe,ALIANZA PARA EL PROGRESO,LA LIBERTAD,0,0,
VALERIA CAROLINA VALER COLLADO,1,1,vvaler@congreso.gob.pe,FUERZA POPULAR,LIMA,0,2,
GRIMALDO VASQUEZ TAN,1,1,gvasquez@congreso.gob.pe,PARTIDO DEMOCRATICO SOMOS PERU,AMAZONAS,0,0,
JORGE VASQUEZ BECERRA,0,0,jvasquezb@congreso.gob.pe,ACCION POPULAR,CUSCO,1,2,
MIRTHA ESTHER VASQUEZ CHUQUILIN,0,0,mvasquezch@congreso.gob.pe,"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",CAJAMARCA,0,1,
JOSE ALEJANDRO VEGA ANTONIO,1,1,jvegaa@congreso.gob.pe,UNION POR EL PERU,LIMA,3,1,
MARCO ANTONIO VERDE HEIDINGER,0,1,mverde@congreso.gob.pe,ALIANZA PARA EL PROGRESO,PASCO,0,0,
WIDMAN NAPOLEON VIGO GUTIERREZ,0,1,wvigo@congreso.gob.pe,FUERZA POPULAR,CAJAMARCA,0,0,
MIGUEL ANGEL VIVANCO REYES,1,1,mvivanco@congreso.gob.pe,FUERZA POPULAR,LA LIBERTAD,0,0,
MARIANO ANDRES YUPANQUI MIÑANO,1,1,myupanqui@congreso.gob.pe,PARTIDO DEMOCRATICO SOMOS PERU,LA LIBERTAD,0,2,
EDWARD ALEXANDER ZARATE ANTON,0,1,ezarate@congreso.gob.pe,FUERZA POPULAR,PIURA,0,0,
